season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2013/14,155511,45,45,4,34,0,0,0,1,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2014/15,155511,45,43,14,211,0,1,0,8,0,0,0,1,0,0,0,35,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2015/16,155511,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2021/22,155511,60,57,57,1409,2,3,4,31,0,0,0,1,0,0,3,150,179.2,180.2,575.0,92.7,0,0.00,0.00,0.00,0.00
2022/23,155511,55,53,54,1321,2,1,1,24,0,0,0,2,0,0,3,161,176.2,148.8,292.0,60.7,14,2.23,0.75,2.98,24.77
