id,stats,explain,first_name,second_name,element_code
11,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 2, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",Eddie,Nketiah,205533
12,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 2, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",Ethan,Nwaneri,499175
13,"{'minutes': 90, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 1, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 16, 'influence': '15.0', 'creativity': '24.0', 'threat': '15.0', 'ict_index': '5.4', 'starts': 1, 'expected_goals': '0.02', 'expected_assists': '0.06', 'expected_goal_involvements': '0.08', 'expected_goals_conceded': '0.47', 'total_points': 3, 'in_dreamteam': False}","[{'fixture': 2, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'clean_sheets', 'points': 1, 'value': 1}]}]",Martin,Ødegaard,184029
14,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 2, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",Aaron,Ramsdale,225321
15,"{'minutes': 90, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 1, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 3, 'bonus': 1, 'bps': 28, 'influence': '28.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '2.8', 'starts': 1, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.47', 'total_points': 8, 'in_dreamteam': False}","[{'fixture': 2, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'clean_sheets', 'points': 4, 'value': 1}, {'identifier': 'saves', 'points': 1, 'value': 3}, {'identifier': 'bonus', 'points': 1, 'value': 1}]}]",David,Raya Martin,154561
16,"{'minutes': 84, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 1, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 9, 'influence': '6.6', 'creativity': '13.4', 'threat': '8.0', 'ict_index': '2.8', 'starts': 1, 'expected_goals': '0.09', 'expected_assists': '0.05', 'expected_goal_involvements': '0.14', 'expected_goals_conceded': '0.32', 'total_points': 3, 'in_dreamteam': False}","[{'fixture': 2, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 84}, {'identifier': 'clean_sheets', 'points': 1, 'value': 1}]}]",Declan,Rice,204480
17,"{'minutes': 79, 'goals_scored': 1, 'assists': 1, 'clean_sheets': 1, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 1, 'red_cards': 0, 'saves': 0, 'bonus': 2, 'bps': 42, 'influence': '64.2', 'creativity': '61.7', 'threat': '78.0', 'ict_index': '20.4', 'starts': 1, 'expected_goals': '0.35', 'expected_assists': '0.37', 'expected_goal_involvements': '0.72', 'expected_goals_conceded': '0.32', 'total_points': 12, 'in_dreamteam': True}","[{'fixture': 2, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 79}, {'identifier': 'goals_scored', 'points': 5, 'value': 1}, {'identifier': 'assists', 'points': 3, 'value': 1}, {'identifier': 'clean_sheets', 'points': 1, 'value': 1}, {'identifier': 'yellow_cards', 'points': -1, 'value': 1}, {'identifier': 'bonus', 'points': 2, 'value': 2}]}]",Bukayo,Saka,223340
18,"{'minutes': 90, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 1, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 26, 'influence': '14.8', 'creativity': '0.9', 'threat': '0.0', 'ict_index': '1.6', 'starts': 1, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.47', 'total_points': 6, 'in_dreamteam': False}","[{'fixture': 2, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'clean_sheets', 'points': 4, 'value': 1}]}]",William,Saliba,462424
19,"{'minutes': 63, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 1, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 11, 'influence': '4.0', 'creativity': '3.8', 'threat': '0.0', 'ict_index': '0.8', 'starts': 1, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '1.50', 'total_points': 3, 'in_dreamteam': False}","[{'fixture': 1, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 63}, {'identifier': 'clean_sheets', 'points': 1, 'value': 1}]}]",Emile,Smith Rowe,209289
20,"{'minutes': 90, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 1, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 16, 'influence': '14.4', 'creativity': '43.6', 'threat': '1.0', 'ict_index': '5.9', 'starts': 1, 'expected_goals': '0.06', 'expected_assists': '0.06', 'expected_goal_involvements': '0.12', 'expected_goals_conceded': '0.47', 'total_points': 3, 'in_dreamteam': False}","[{'fixture': 2, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'clean_sheets', 'points': 1, 'value': 1}]}]",Thomas,Partey,167199
21,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 2, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",Kieran,Tierney,192895
22,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 2, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",Tomiyasu,Takehiro,223723
23,"{'minutes': 10, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 2, 'influence': '4.2', 'creativity': '0.3', 'threat': '0.0', 'ict_index': '0.5', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.15', 'total_points': 1, 'in_dreamteam': False}","[{'fixture': 2, 'stats': [{'identifier': 'minutes', 'points': 1, 'value': 10}]}]",Leandro,Trossard,116216
24,"{'minutes': 90, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 1, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 22, 'influence': '5.8', 'creativity': '1.3', 'threat': '8.0', 'ict_index': '1.5', 'starts': 1, 'expected_goals': '0.07', 'expected_assists': '0.06', 'expected_goal_involvements': '0.13', 'expected_goals_conceded': '0.47', 'total_points': 6, 'in_dreamteam': False}","[{'fixture': 2, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'clean_sheets', 'points': 4, 'value': 1}]}]",Benjamin,White,198869
25,"{'minutes': 68, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 1, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 22, 'influence': '7.2', 'creativity': '4.9', 'threat': '6.0', 'ict_index': '1.8', 'starts': 1, 'expected_goals': '0.00', 'expected_assists': '0.04', 'expected_goal_involvements': '0.04', 'expected_goals_conceded': '0.32', 'total_points': 6, 'in_dreamteam': False}","[{'fixture': 2, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 68}, {'identifier': 'clean_sheets', 'points': 4, 'value': 1}]}]",Oleksandr,Zinchenko,206325
26,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 7, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",Álex,Moreno Lopera,106468
27,"{'minutes': 19, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 4, 'influence': '1.0', 'creativity': '0.1', 'threat': '22.0', 'ict_index': '2.3', 'starts': 0, 'expected_goals': '0.19', 'expected_assists': '0.00', 'expected_goal_involvements': '0.19', 'expected_goals_conceded': '0.00', 'total_points': 1, 'in_dreamteam': False}","[{'fixture': 5, 'stats': [{'identifier': 'minutes', 'points': 1, 'value': 19}]}]",Cameron,Archer,433979
28,"{'minutes': 73, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 1, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 1, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 1, 'influence': '0.0', 'creativity': '30.5', 'threat': '13.0', 'ict_index': '4.2', 'starts': 1, 'expected_goals': '0.21', 'expected_assists': '0.21', 'expected_goal_involvements': '0.42', 'expected_goals_conceded': '1.39', 'total_points': 1, 'in_dreamteam': False}","[{'fixture': 7, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 73}, {'identifier': 'yellow_cards', 'points': -1, 'value': 1}]}]",Leon,Bailey,215711
29,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 7, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",Ross,Barkley,88894
30,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 7, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",Enzo,Barrenechea,491287
31,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 7, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",Emiliano,Buendía Stati,195546
32,"{'minutes': 81, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 1, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 7, 'influence': '9.0', 'creativity': '12.4', 'threat': '2.0', 'ict_index': '2.3', 'starts': 1, 'expected_goals': '0.00', 'expected_assists': '0.01', 'expected_goal_involvements': '0.01', 'expected_goals_conceded': '1.41', 'total_points': 2, 'in_dreamteam': False}","[{'fixture': 7, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 81}]}]",Matty,Cash,199796
33,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 7, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",Leander,Dendoncker,151589
34,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 7, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",Moussa,Diaby,243557
35,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 7, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",Diego Carlos,Santos Silva,165659
36,"{'minutes': 73, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 1, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 14, 'influence': '14.4', 'creativity': '19.2', 'threat': '0.0', 'ict_index': '3.4', 'starts': 1, 'expected_goals': '0.00', 'expected_assists': '0.13', 'expected_goal_involvements': '0.13', 'expected_goals_conceded': '1.39', 'total_points': 2, 'in_dreamteam': False}","[{'fixture': 7, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 73}]}]",Lucas,Digne,101188
37,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 7, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",Lewis,Dobbin,461421
38,"{'minutes': 28, 'goals_scored': 1, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 1, 'bps': 30, 'influence': '34.4', 'creativity': '2.1', 'threat': '23.0', 'ict_index': '6.0', 'starts': 0, 'expected_goals': '0.38', 'expected_assists': '0.00', 'expected_goal_involvements': '0.38', 'expected_goals_conceded': '1.17', 'total_points': 6, 'in_dreamteam': False}","[{'fixture': 7, 'stats': [{'identifier': 'minutes', 'points': 1, 'value': 28}, {'identifier': 'goals_scored', 'points': 4, 'value': 1}, {'identifier': 'bonus', 'points': 1, 'value': 1}]}]",Jhon,Durán,476344
39,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 7, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",Joe,Gauci,462492
40,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 7, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]",Kortney,Hause,123354
