id,first_name,second_name,team,element_type,code
339,Virgil,van Dijk,12,2,97032
636,Federico,Chiesa,12,3,223541
340,Manuel,Akanji,13,2,211975
341,Nathan,Aké,13,2,126184
342,Bernardo,Veiga de Carvalho e Silva,13,3,165809
343,Oscar,Bobb,13,3,477555
344,Scott,Carson,13,1,17601
345,Kevin,De Bruyne,13,3,61366
346,Jérémy,Doku,13,3,248875
347,Ederson,Santana de Moraes,13,1,121160
348,Phil,Foden,13,3,209244
349,Jack,Grealish,13,3,114283
350,Joško,Gvardiol,13,2,477424
351,Erling,Haaland,13,4,223094
352,Julián,Álvarez,13,4,461358
353,João,Cavaco Cancelo,13,2,121145
354,Mateo,Kovačić,13,3,91651
355,Rico,Lewis,13,2,477064
356,Matheus Luiz,Nunes,13,3,465351
357,James,McAtee,13,3,432714
358,Stefan,Ortega Moreno,13,1,88248
360,Rodrigo 'Rodri',Hernandez,13,3,220566
361,Rúben,Gato Alves Dias,13,2,171314
362,John,Stones,13,2,97299
363,Kyle,Walker,13,2,58621
571,Sávio 'Savinho',Moreira de Oliveira,13,3,510281
607,Nico,O'Reilly,13,3,472769
625,Ilkay,Gündogan,13,3,59859
626,Issa,Kaboré,13,2,476369
364,Amad,Diallo,14,3,493250
365,Antony Matheus,dos Santos,14,3,467169
366,Bruno,Borges Fernandes,14,3,141746
367,Altay,Bayindir,14,1,451302
368,Carlos Henrique,Casimiro,14,3,61256
369,Diogo,Dalot Teixeira,14,2,216051
370,Christian,Eriksen,14,3,80607
371,Jonny,Evans,14,2,37642
372,Alejandro,Garnacho,14,3,493105
373,Hannibal,Mejbri,14,3,465527
374,Tom,Heaton,14,1,21205
375,Rasmus,Højlund,14,4,497894
376,Victor,Lindelöf,14,2,184667
377,Harry,Maguire,14,2,95658
378,Kobbie,Mainoo,14,3,516895
379,Tyrell,Malacia,14,2,222690
380,Lisandro,Martínez,14,2,221820
381,Scott,McTominay,14,3,195851
382,Mason,Mount,14,3,184341
383,André,Onana,14,1,202641
384,Facundo,Pellistri Rebollo,14,3,488404
385,Marcus,Rashford,14,3,176297
387,Luke,Shaw,14,2,106760
389,Joshua,Zirkzee,14,4,458249
572,Leny,Yoro,14,2,550864
593,Matthijs,de Ligt,14,2,209365
594,Noussair,Mazraoui,14,2,230001
613,Toby,Collyer,14,3,490881
648,Ethan,Wheatley,14,4,575034
652,Manuel,Ugarte,14,3,232112
390,Alex,Murphy,15,2,545477
391,Miguel,Almirón Rejala,15,3,179018
392,Harvey,Barnes,15,3,201666
393,Sven,Botman,15,2,220237
394,Bruno,Guimarães Rodriguez Moura,15,3,208706
395,Dan,Burn,15,2,78916
396,Martin,Dúbravka,15,1,67089
398,Anthony,Gordon,15,3,232826
399,Lewis,Hall,15,2,487838
400,Isaac,Hayden,15,3,153127
401,Alexander,Isak,15,4,219168
402,Jacob,Murphy,15,3,114243
403,Joelinton Cássio,Apolinário de Lira,15,3,180974
404,Lloyd,Kelly,15,2,235530
405,Emil,Krafth,15,2,111773
406,Garang,Kuol,15,3,564510
407,Jamaal,Lascelles,15,2,101148
408,Jamal,Lewis,15,2,194799
409,Tino,Livramento,15,2,441191
410,Sean,Longstaff,15,3,180135
411,Lewis,Miley,15,3,547719
412,Odysseas,Vlachodimos,15,1,111452
413,Nick,Pope,15,1,98747
414,John,Ruddy,15,1,19236
415,Fabian,Schär,15,2,119471
416,Matt,Targett,15,2,169359
417,Sandro,Tonali,15,3,432422
418,Kieran,Trippier,15,2,77794
419,Joe,White,15,3,461484
420,Joe,Willock,15,3,200089
421,Callum,Wilson,15,4,75115
574,Miodrag,Pivaš,15,2,578512
590,William,Osula,15,4,538207
26,Álex,Moreno Lopera,16,2,106468
422,Ola,Aina,16,2,159506
423,Elliot,Anderson,16,3,215379
424,Taiwo,Awoniyi,16,4,210156
425,Willy,Boly,16,2,90585
426,Josh,Bowler,16,3,245830
427,Carlos Miguel,dos Santos Pereira,16,1,475123
428,Eric,da Silva Moreira,16,3,569014
429,Danilo,dos Santos de Oliveira,16,3,513046
430,Emmanuel,Dennis,16,4,230251
431,Nicolás,Domínguez,16,3,250199
432,Anthony,Elanga,16,3,449434
433,Morgan,Gibbs-White,16,3,222531
434,Callum,Hudson-Odoi,16,3,209046
435,Alex,Mighten,16,3,244930
436,Murillo,Santiago Costa dos Santos,16,2,575476
437,Neco,Williams,16,2,215136
438,Omar,Richards,16,2,204822
439,Lewis,O'Brien,16,3,243345
440,Andrew,Omobamidele,16,2,466404
441,Jonathan,Panzo,16,2,209035
442,Ibrahim,Sangaré,16,3,210462
443,Matz,Sels,16,1,85633
444,Harry,Toffolo,16,2,114241
446,Hwang,Ui-jo,16,4,201440
447,Chris,Wood,16,4,60689
448,Joe,Worrall,16,2,208912
449,Ryan,Yates,16,3,204968
531,James,Ward-Prowse,16,3,101178
573,Nikola,Milenković,16,2,227444
596,João Pedro,Ferreira Silva,16,3,510500
620,Ramón,Sosa,16,3,502222
653,Felipe,Rodrigues da Silva,16,2,485047
14,Aaron,Ramsdale,17,1,225321
27,Cameron,Archer,17,4,433979
188,Lesley,Ugochukwu,17,3,503714
397,Ryan,Fraser,17,3,90105
450,Carlos,Alcaraz Durán,17,3,502697
451,Samuel,Amo-Ameyaw,17,3,499724
452,Joe,Aribo,17,3,193204
453,Adam,Armstrong,17,4,155511
454,Gavin,Bazunu,17,1,456350
455,Jan,Bednarek,17,2,171771
456,Armel,Bella-Kotchap,17,2,477386
457,James,Bree,17,2,184386
458,Shea,Charles,17,3,463210
459,Samuel,Edozie,17,3,490503
460,Ronnie,Edwards,17,2,500926
461,Taylor,Harwood-Bellis,17,2,245719
462,Kamaldeen,Sulemana,17,3,504783
463,Adam,Lallana,17,3,39155
464,Juan,Larios López,17,2,515571
465,Mateusz,Lis,17,1,200428
466,Joe,Lumley,17,1,167888
467,Ryan,Manning,17,2,204863
468,Sékou,Mara,17,4,476888
469,Alex,McCarthy,17,1,58376
470,Paul,Onuachu,17,4,147611
471,Will,Smallbone,17,3,214466
472,Jack,Stephens,17,2,88900
473,Ross,Stewart,17,4,230348
474,Sugawara,Yukinari,17,2,219279
475,Charlie,Taylor,17,2,103914
476,Kyle,Walker-Peters,17,2,158534
477,Nathan,Wood-Gordon,17,2,244845
515,Maxwel,Cornet,17,3,149519
518,Flynn,Downes,17,3,220585
584,Ben,Brereton Díaz,17,3,204814
608,Tyler,Dibling,17,3,496661
623,Mateus Gonçalo,Espanha Fernandes,17,3,551226
82,Dominic,Solanke-Mitchell,18,4,154566
478,Ashley,Phillips,18,2,548308
479,Brandon,Austin,18,1,214572
480,Rodrigo,Bentancur,18,3,202993
481,Lucas,Bergvall,18,3,570526
482,Yves,Bissouma,18,3,227127
483,Bryan,Gil Salvatierra,18,3,436234
484,Ben,Davies,18,2,115556
485,Alfie,Devine,18,3,496179
486,Radu,Drăgușin,18,2,493125
487,Emerson,Leite de Souza Junior,18,2,241157
488,Fraser,Forster,18,1,40383
489,Archie,Gray,18,3,547701
490,Pierre-Emile,Højbjerg,18,3,132015
491,Brennan,Johnson,18,3,242898
492,Dejan,Kulusevski,18,3,445044
493,Giovani,Lo Celso,18,3,200826
494,James,Maddison,18,3,172780
495,Pedro,Porro,18,2,441164
496,Sergio,Reguilón,18,2,199249
497,Richarlison,de Andrade,18,4,212319
498,Cristian,Romero,18,2,221632
499,Pape Matar,Sarr,18,3,482442
500,Dane,Scarlett,18,4,490145
502,Manor,Solomon,18,3,235674
503,Son,Heung-min,18,3,85971
504,Djed,Spence,18,2,232859
505,Destiny,Udogie,18,2,487053
506,Micky,van de Ven,18,2,491279
507,Alejo,Véliz,18,4,536908
508,Guglielmo,Vicario,18,1,184254
509,Timo,Werner,18,3,165153
510,Alfie,Whiteman,18,1,175941
609,Will,Lankshear,18,4,552427
610,Mikey,Moore,18,3,499721
612,Wilson,Odobert,18,3,550839
388,Aaron,Wan-Bissaka,19,2,214590
511,Edson,Álvarez Velázquez,19,3,213999
512,Michail,Antonio,19,4,57531
513,Alphonse,Areola,19,1,84182
514,Jarrod,Bowen,19,3,178186
516,Vladimír,Coufal,19,2,164555
517,Aaron,Cresswell,19,2,55459
519,George,Earthy,19,3,490885
520,Emerson,Palmieri dos Santos,19,2,109533
521,Łukasz,Fabiański,19,1,37096
522,Wes,Foderingham,19,1,82143
523,Danny,Ings,19,4,84939
524,Max,Kilman,19,2,214048
525,Mohammed,Kudus,19,3,460842
526,Luis Guilherme,Lira dos Santos,19,3,577114
527,Lucas,Tolentino Coelho de Lima,19,3,224024
528,Konstantinos,Mavropanos,19,2,233963
529,Nayef,Aguerd,19,2,210494
530,Tomáš,Souček,19,3,215439
532,Kurt,Zouma,19,2,103192
576,Andy,Irving,19,3,229384
587,Crysencio,Summerville,19,3,450070
588,Guido,Rodríguez,19,3,197024
589,Niclas,Füllkrug,19,4,91889
591,Jean-Clair,Todibo,19,2,462116
643,Kaelan,Casey,19,2,518438
654,Carlos,Soler,19,3,224860
204,Sam,Johnstone,20,1,101982
533,Rayan,Aït-Nouri,20,2,448514
534,Boubacar,Traoré,20,3,476502
535,Jean-Ricner,Bellegarde,20,3,231057
536,Daniel,Bentley,20,1,79602
537,Francisco Jorge,Tomás Oliveira,20,3,510363
538,Tawanda,Chirewa,20,3,497606
539,Leon,Chiwome,20,4,589507
540,Luke,Cundle,20,3,245923
541,Matheus,Santos Carneiro Da Cunha,20,4,430871
542,Craig,Dawson,20,2,60232
543,Matt,Doherty,20,2,87835
544,Tommy,Doyle,20,3,220394
545,Fábio,Silva,20,4,449988
546,Nathan,Fraser,20,4,531363
547,Enso,González,20,3,593001
548,Gonçalo Manuel,Ganchinho Guedes,20,3,181284
549,Hugo,Bueno López,20,2,490721
550,Hwang,Hee-chan,20,3,184754
551,Joe,Hodge,20,3,240299
552,Ki-Jana,Hoever,20,2,441271
553,João Victor,Gomes da Silva,20,3,448089
554,José,Malheiro de Sá,20,1,149065
555,Saša,Kalajdžić,20,4,429414
556,Tom,King,20,1,138001
557,Mario,Lemina,20,3,151086
558,Yerson,Mosquera,20,2,501837
559,Nélson,Cabral Semedo,20,2,200402
561,Pedro,Cardoso de Lima,20,2,641221
562,Daniel,Castelo Podence,20,3,200600
563,Rodrigo,Martins Gomes,20,3,483081
564,Santiago,Bueno,20,2,231480
565,Pablo,Sarabia,20,3,88484
566,Jørgen,Strand Larsen,20,4,247412
567,Toti António,Gomes,20,2,510362
637,Bastien,Meupiyou,20,2,560248
642,André,Trindade da Costa Neto,20,3,509291
655,Carlos Roberto,Forbs Borges,20,3,463212
