second_name_defender,season_name,element_code,start_cost,end_cost,goals_scored,assists,minutes,expected_goal_involvements,goals_scored_per_90,assists_per_90,expected_goals,expected_assists,expected_goals_per_90,expected_assists_per_90,yellow_cards,red_cards,total_points,ict_index,influence,creativity,threat,penalties_missed,penalties_saved,starts,clean_sheets_per_90,defensive_effectiveness,goals_conceded_per_90,defensive_effectiveness_trend,goals_conceded_trend,clean_sheets_trend,first_name_defender,id_defender,second_name_ref,first_name_ref,DS,DSS
Dawson,2011,60232,45,43,21,8,24721,3.8,0.060197606572846035,0.03386312174502098,3.1100000000000003,0.69,0.01074164415573505,0.0023749068202289,52,2,826,58.71666666666667,344.6333333333334,67.025,174.5,0,0,50,0.21759979693792952,-0.4831707332980469,1.4255266301830467,0.016132547641731818,2.3818181818181823,0.4545454545454545,Craig,542,Dawson,Craig,0.017543859649122806,0.1358502318174598
Digne,2018,101188,50,54,6,30,15013,6.8100000000000005,0.03653354051971237,0.16478707209501567,1.42,5.390000000000001,0.010497692474904249,0.04086902844275498,31,2,616,156.0,580.5666666666667,773.0166666666668,204.66666666666666,0,0,45,0.27129925715000397,-0.4654976265031214,1.4350433234078073,-0.03884493643362358,0.35999999999999943,-1.24,Lucas,36,Digne,Lucas,0.027777777777777776,0.1657511967071444
Diop,2018,219924,45,42,7,2,11506,1.46,0.05055038379988913,0.02103369568694453,0.55,0.9099999999999999,0.0049070233472294665,0.00808762490445805,19,1,357,59.300000000000004,459.2,35.766666666666666,96.83333333333333,0,0,37,0.21502211946767988,-0.5197036211997889,1.5142811724671519,-0.02000159636067656,-2.72,-0.6,Issa,245,Diop,Issa,0.045454545454545456,0.12288873284942668
Disasi,2023,220362,50,49,2,0,2579,3.81,0.0697944939899185,0.0,2.35,1.46,0.0820085304381543,0.0509499806126405,6,0,71,85.1,573.2,105.5,172.0,0,0,29,0.1744862349747964,-0.6281504459092672,1.7448623497479645,-0.02000159636067656,-2.72,-0.6,Axel,167,Disasi,Axel,0.14285714285714285,0.07090812648325348
Doherty,2011,87835,40,40,12,22,9930,2.76,0.09474050039875863,0.15949929993573214,1.63,1.13,0.024423293152580645,0.014969340932472656,10,1,502,83.77142857142857,322.37142857142857,224.75714285714284,290.0,0,0,16,0.24246995772041052,-0.3185040163686751,1.0387299986420981,-0.06171015396262397,2.9,0.7666666666666666,Matt,543,Doherty,Matt,0.07692307692307693,0.20468460757099782
Drăgușin,2023,493125,45,42,0,0,424,0.15,0.0,0.0,0.14,0.01,0.0297169811320754,0.0021226415094339,1,0,14,11.0,95.4,7.4,6.0,0,0,4,0.2122641509433962,-0.509433962264151,1.4858490566037736,-0.06171015396262397,2.9,0.7666666666666666,Radu,486,Drăgușin,Radu,0.5,0.12492839497332708
Dunk,2017,83299,45,45,16,7,21415,7.949999999999999,0.06819664926139885,0.028231010706091984,4.82,3.14,0.020743400996973645,0.013609769456754458,39,5,739,127.68571428571428,772.7142857142857,145.95714285714286,356.57142857142856,0,0,69,0.27021293527042095,-0.454620439533086,1.4067640341031358,0.005214219011038384,-1.4666666666666661,-0.09999999999999998,Lewis,120,Dunk,Lewis,0.02,0.1688310763806491
Estupiñán,2022,204214,45,50,3,10,3916,8.9,0.08929248913314465,0.22649669929433186,2.8,6.1,0.06652358188893585,0.14573022015544204,8,0,185,125.75,463.0,570.25,226.5,0,0,46,0.27698286234593994,-0.555472450760409,1.6656639892469625,-0.1111942159062577,-8.5,-3.5,Pervis,122,Estupiñán,Pervis,0.1111111111111111,0.13993925738565577
Evans,2007,37642,45,44,14,15,31269,0.6799999999999999,0.03369665095558124,0.03599502011596164,0.23,0.45,0.0010850148946723059,0.0019357936449317529,56,3,1217,33.9,226.15294117647062,41.705882352941174,70.52941176470588,0,0,27,0.2552424357889671,-0.3770882285385131,1.1979630071352498,-0.006915236934440136,0.8999999999999999,0.38749999999999996,Jonny,371,Evans,Jonny,0.015873015873015872,0.1886935854518403
Faes,2022,218218,45,42,1,2,2786,1.78,0.0323043790380473,0.0646087580760947,1.2,0.58,0.0387652548456568,0.0187365398420674,4,1,78,93.8,712.2,115.9,110.0,0,0,31,0.2261306532663316,-0.5685570710696339,1.6475233309404165,-0.006915236934440136,0.8999999999999999,0.38749999999999996,Wout,291,Faes,Wout,0.14285714285714285,0.11266736144310018
Fofana,2020,444463,50,50,1,1,4252,1.03,0.022026431718061665,0.013274336283185834,0.74,0.29,0.016299559471365632,0.006387665198237867,13,0,125,45.73333333333333,309.3333333333333,65.83333333333333,79.66666666666667,0,0,14,0.1845922650374718,-0.43024220720996675,1.2601977830623887,-0.0319352628970188,-4.833333333333334,-1.8333333333333333,Wesley,189,Fofana,Wesley,0.07142857142857142,0.1389794379389679
Gato Alves Dias,2020,171314,55,59,3,6,9798,5.01,0.026656365920929573,0.05476965205170843,2.74,2.27,0.027466120964787,0.02081353845394605,12,0,451,91.975,557.0,152.1,208.75,0,0,50,0.44633278467247883,-0.12607899827894045,0.7615302803698301,-0.025142759069882403,-0.08333333333333333,-1.5833333333333333,Rúben,361,Gato Alves Dias,Rúben,0.07692307692307693,0.36825706049604606
Gilchrist,2023,514280,40,40,1,0,200,0.37,0.45,0.0,0.32,0.05,0.144,0.0225,1,0,20,11.1,70.6,8.6,33.0,0,0,2,0.45,-0.8999999999999998,2.7,-0.025142759069882403,-0.08333333333333333,-1.5833333333333333,Alfie,170,Gilchrist,Alfie,0.5,0.1260810810810811
Gomes,2021,510362,45,44,2,4,4109,2.83,0.04150126308191986,0.04330566582461203,1.9700000000000002,0.86,0.028274990977986265,0.013875857091302735,14,0,131,44.36666666666667,289.0,65.56666666666666,88.0,0,0,41,0.1660050523276795,-0.5175748827138217,1.4599422591122337,0.04121255864308915,8.5,1.3333333333333333,Toti António,567,Gomes,Toti António,0.06666666666666667,0.10144163162797046
Gomez,2015,171287,45,42,0,6,9548,2.96,0.0,0.08436800896956641,1.22,1.7400000000000002,0.008015774702073312,0.011952309134564125,25,0,433,38.475,231.2,118.73750000000001,34.0,0,0,32,0.44661370589122995,-0.2233368819112031,1.0049559106692378,-0.01868381394113213,1.2285714285714284,0.39999999999999997,Joe,322,Gomez,Joe,0.038461538461538464,0.32826870202592456
Gusto,2023,482609,40,43,0,6,1746,4.4,0.0,0.3092783505154639,1.01,3.39,0.052061855670103,0.1747422680412371,7,1,74,110.4,434.8,494.8,174.0,0,0,19,0.2577319587628865,-0.4742268041237113,1.4432989690721647,-0.01868381394113213,1.2285714285714284,0.39999999999999997,Malo,171,Gusto,Malo,0.1,0.1568054286832833
Guéhi,2021,209036,45,45,3,2,8572,3.86,0.027630982938245466,0.024162472113133066,2.04,1.8199999999999998,0.021767014539291734,0.0222388725359022,14,0,284,91.3,614.4666666666667,116.86666666666667,179.33333333333334,0,0,60,0.27261084858297085,-0.40696941202500136,1.2900343786454744,-0.024713756291830202,-1.3333333333333321,-1.166666666666667,Marc,200,Guéhi,Marc,0.06666666666666667,0.18591394202400885
Gvardiol,2023,477424,50,52,4,2,2327,5.23,0.1547056295659647,0.0773528147829823,3.14,2.09,0.1214439192092823,0.0808336914482165,3,0,123,129.7,544.4,362.2,389.0,0,0,26,0.3480876665234207,-0.2165878813923507,0.8895573700042975,-0.024713756291830202,-1.3333333333333321,-1.166666666666667,Joško,350,Gvardiol,Joško,0.25,0.2894935983523555
Hall,2022,487838,45,43,1,0,1426,3.3600000000000003,0.05821474773609315,0.0,1.18,2.1799999999999997,0.0775727114779235,0.14252717579724586,3,0,57,41.849999999999994,164.60000000000002,147.45,106.0,0,0,16,0.18534220603880192,-0.5085098332108351,1.4566167890658894,0.0427918513220899,0.5,0.5,Lewis,399,Hall,Lewis,0.25,0.11308830503848566
Hause,2019,123354,45,44,3,0,2571,0.0,0.142615850062242,0.0,0.0,0.0,0.0,0.0,5,0,86,33.800000000000004,200.86666666666667,13.700000000000001,123.0,0,0,0,0.2572839971138088,-0.5476611223704057,1.626436803039823,0.09922643363344999,-8.833333333333334,0.0,Kortney,40,Hause,Kortney,0.16666666666666666,0.13333296789916854
Henry,2021,194010,45,45,3,4,6416,5.67,0.032432432432432434,0.10259074535882513,1.87,3.8,0.021903574397339965,0.09418352267479446,7,0,233,74.56666666666666,327.93333333333334,268.26666666666665,149.66666666666666,0,0,42,0.2739621167301965,-0.3877087561376838,1.2432340070744061,0.0137131894987256,-5.166666666666666,-1.0,Rico,92,Henry,Rico,0.125,0.19317479752951383
Hickey,2022,472713,50,49,0,3,2631,1.29,0.0,0.070385818561001,0.5800000000000001,0.71,0.02153825791534245,0.021812693505243702,12,0,80,29.0,147.0,74.55,69.5,0,0,32,0.24353690657782545,-0.487073813155651,1.461221439466953,-0.0178350227489773,-9.0,-1.5,Aaron,93,Hickey,Aaron,0.07692307692307693,0.14624438898721587
Hill,2023,463981,40,40,0,0,74,0.01,0.0,0.0,0.0,0.01,0.0,0.0121621621621621,0,0,5,3.5,32.6,2.2,0.0,0,0,1,0.0,-0.4864864864864865,1.2162162162162162,-0.0178350227489773,-9.0,-1.5,James,68,Hill,James,1.0,0.03806855636123929
Hoever,2020,441271,45,44,0,0,879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,27,12.899999999999999,71.5,40.900000000000006,17.0,0,0,0,0.14705882352941174,-0.5808438558669541,1.599168463196797,0.1102556205728364,-3.0,0.5,Ki-Jana,552,Hoever,Ki-Jana,0.3333333333333333,0.07278217030279084
Holding,2016,156074,45,41,2,2,6974,0.47,0.0381836008424722,0.020726800993855,0.32,0.15,0.007320793085917628,0.0034316217590238856,12,1,254,32.728571428571435,244.74285714285716,31.0,51.0,0,0,6,0.23462970013522702,-0.4765177749838912,1.425924137594955,-0.05511910476119852,1.1333333333333335,-0.16666666666666666,Rob,202,Holding,Rob,0.06666666666666667,0.14567550837035664
Holgate,2016,194164,45,41,3,7,10650,1.92,0.015469783049270725,0.04067805622296504,1.55,0.37,0.030935733226597276,0.0069442012308000125,31,3,326,42.475,275.225,72.2125,77.0,0,0,14,0.22157875693014734,-0.6002561615517981,1.7222191608096424,-0.04728634835665846,1.542857142857143,-0.11428571428571425,Mason,225,Holgate,Mason,0.02631578947368421,0.10094235172307615
James,2019,225796,50,49,7,18,7398,5.65,0.07040649510479233,0.24913523833954548,1.36,4.29,0.028343088071348922,0.10130992196209584,12,3,369,110.02000000000001,381.15999999999997,477.9599999999999,239.2,0,0,19,0.22466207113332848,-0.5165918527025612,1.5161417028897315,-0.021863194963719745,-0.5499999999999998,-0.10000000000000009,Reece,172,James,Reece,0.05263157894736842,0.12824283384194518
