season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,id,first_name,second_name,unique_id
2018/19,194634,65,63,139,2352,9,8,10,29,0,0,0,11,0,0,13,386,559.6,402.5,888.0,185.0,0,0.0,0.0,0.0,0.0,317,Diogo,Teixeira da Silva,194634_2018/19
2019/20,194634,65,60,105,2278,7,3,10,28,0,0,0,4,0,0,12,348,457.8,453.3,1139.0,204.9,0,0.0,0.0,0.0,0.0,317,Diogo,Teixeira da Silva,194634_2019/20
2020/21,194634,65,69,86,1106,9,0,4,15,0,0,0,2,0,0,9,228,387.4,188.3,680.0,125.7,0,0.0,0.0,0.0,0.0,317,Diogo,Teixeira da Silva,194634_2020/21
2021/22,194634,75,83,175,2357,15,7,14,19,0,0,0,3,0,0,8,483,736.8,538.2,1379.0,264.5,0,0.0,0.0,0.0,0.0,317,Diogo,Teixeira da Silva,194634_2021/22
2022/23,194634,90,86,80,1125,7,4,5,19,0,0,0,2,0,0,9,282,376.6,242.6,391.0,100.6,12,6.38,1.7,8.08,17.76,317,Diogo,Teixeira da Silva,194634_2022/23
2023/24,194634,80,79,110,1141,10,7,5,11,0,0,0,1,1,0,7,328,483.8,290.2,639.0,141.4,14,5.24,1.75,6.99,15.21,317,Diogo,Teixeira da Silva,194634_2023/24
2011/12,106606,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,277,Massimo,Luongo,106606_2011/12
2023/24,213999,50,50,62,2375,1,1,5,45,0,0,0,11,0,0,3,345,545.8,193.1,89.0,82.7,28,1.37,0.81,2.18,49.85,511,Edson,Álvarez Velázquez,213999_2023/24
2020/21,184029,60,56,40,861,1,2,3,12,0,0,0,0,0,0,3,183,169.8,322.8,167.0,65.9,0,0.0,0.0,0.0,0.0,13,Martin,Ødegaard,184029_2020/21
2021/22,184029,55,56,131,2782,7,4,11,39,0,0,0,4,0,0,9,541,676.6,1073.2,639.0,238.2,0,0.0,0.0,0.0,0.0,13,Martin,Ødegaard,184029_2021/22
2022/23,184029,65,69,212,3132,15,8,13,38,0,0,0,4,0,0,30,813,971.8,1140.3,934.0,304.9,37,9.75,8.02,17.77,37.94,13,Martin,Ødegaard,184029_2022/23
2023/24,184029,85,86,186,3098,8,11,19,23,0,0,0,2,0,0,26,703,910.4,1499.4,757.0,317.0,35,7.53,10.16,17.69,25.26,13,Martin,Ødegaard,184029_2023/24
2022/23,499175,45,45,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12,Ethan,Nwaneri,499175_2022/23
2023/24,499175,45,45,1,13,0,0,0,0,0,0,0,0,0,0,0,3,2.0,12.3,4.0,1.8,0,0.0,0.05,0.05,0.13,12,Ethan,Nwaneri,499175_2023/24
2020/21,173818,45,45,1,2,0,0,0,0,0,0,0,0,0,0,0,5,2.0,0.0,0.0,0.2,0,0.0,0.0,0.0,0.0,262,Nathan,Broadhead,173818_2020/21
2021/22,173818,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,262,Nathan,Broadhead,173818_2021/22
2023/24,497606,45,44,8,138,0,0,0,2,0,0,0,1,0,0,0,21,22.0,24.7,21.0,6.6,1,0.16,0.07,0.23,1.45,538,Tawanda,Chirewa,497606_2023/24
2022/23,463210,45,45,1,27,0,0,0,1,0,0,0,0,0,0,0,3,13.8,0.9,0.0,1.5,0,0.0,0.0,0.0,0.05,458,Shea,Charles,463210_2022/23
