id,first_name,second_name,element_code
182,Cole,Palmer,244851
183,Đorđe,Petrović,457569
184,Renato,Palma Veiga,551230
185,Robert,Sánchez,215059
187,Tosin,Adarabioyo,109646
189,Wesley,Fofana,444463
386,Jadon,Sancho,209243
560,Pedro,Lomba Neto,247632
575,Caleb,Wiley,488464
581,Filip,Jørgensen,508479
621,João,Félix Sequeira,428399
11,Eddie,Nketiah,205533
159,Trevoh,Chalobah,180736
190,Naouirou,Ahamada,466117
193,Cheick,Doucouré,438464
194,Chris,Richards,427623
195,Chadi,Riad Dnanou,515621
196,Nathaniel,Clyne,57328
197,Malcolm,Ebiowei,450535
199,Eberechi,Eze,232413
200,Marc,Guéhi,209036
201,Dean,Henderson,172649
202,Rob,Holding,156074
203,Will,Hughes,108413
205,Daichi,Kamada,209400
206,Jefferson,Lerma Solís,152551
207,Jean-Philippe,Mateta,231747
208,Matheus,França de Oliveira,536694
209,Remi,Matthews,169593
210,Tyrick,Mitchell,244723
211,Daniel,Muñoz,247348
212,David,Ozoh,531989
213,Jesurun,Rak-Sakyi,450542
214,Jeffrey,Schlupp,86417
215,Joel,Ward,55494
216,Adam,Wharton,496221
445,Matt,Turner,224068
585,Ismaïla,Sarr,232185
644,Franco,Umeh-Chibueze,574398
645,Justin,Devenny,489706
646,Asher,Agbinone,579075
647,Kaden,Rodney,530318
650,Maxence,Lacroix,437499
156,Armando,Broja,440323
217,Abdoulaye,Doucouré,121599
218,Norberto Bercique,Gomes Betuncal,486385
219,Jarrad,Branthwaite,480455
220,Dominic,Calvert-Lewin,177815
221,Séamus,Coleman,59949
222,Idrissa,Gueye,80801
223,James,Garner,232928
224,Jack,Harrison,221399
225,Mason,Holgate,194164
226,Tim,Iroegbunam,490094
227,João,Neves Virgínia,222627
228,Michael,Keane,106611
229,Neal,Maupay,115382
230,Dwight,McNeil,433154
231,Vitalii,Mykolenko,224967
232,Iliman,Ndiaye,440993
234,Nathan,Patterson,243571
235,Jordan,Pickford,111234
236,James,Tarkowski,17761
237,Youssef,Ramalho Chermiti,491012
238,Ashley,Young,18892
577,Jesper,Lindstrøm,463903
582,Jake,O'Brien,512462
603,Harrison,Armstrong,609873
614,Jenson,Metcalfe,491557
624,Asmir,Begovic,40349
627,Roman,Dixon,496178
651,Orel,Mangala,179519
10,Reiss,Nelson,200641
19,Emile,Smith Rowe,209289
191,Joachim,Andersen,174874
239,Adama,Traoré,159533
240,Andreas,Hoelgebaum Pereira,156689
241,Calvin,Bassey,232892
242,Steven,Benda,428971
243,Tom,Cairney,76357
244,Timothy,Castagne,166477
245,Issa,Diop,219924
246,Luke,Harris,515024
247,Alex,Iwobi,153133
248,Bernd,Leno,80201
249,Saša,Lukić,212314
250,Kevin,Mbabu,120721
251,Rodrigo,Muniz Carvalho,244042
252,Raúl,Jiménez,102057
253,Tim,Ream,82514
254,Harrison,Reed,153366
255,Antonee,Robinson,169528
256,Jay,Stansfield,490146
257,Kenny,Tete,167074
258,Carlos Vinícius,Alves Morais,245824
259,Harry,Wilson,153682
579,Ryan,Sessegnon,184349
586,Jorge,Cuenca Barreno,246301
604,Josh,King,577725
605,Martial,Godo,573062
622,Sander,Berge,207189
260,Ali,Al-Hamadi,462387
261,Elkan,Baggott,517178
262,Nathan,Broadhead,173818
263,Cameron,Burgess,122411
264,Wes,Burns,149929
265,Conor,Chaplin,196411
266,Harry,Clarke,232228
267,Leif,Davis,455084
268,Liam,Delap,463034
269,George,Edmundson,214964
270,Jacob,Greaves,449429
271,Marcus,Myers-Harness,167191
272,George,Hirst,222625
273,Cameron,Humphreys,524180
274,Omari,Giraud-Hutchinson,503301
275,Ben,Johnson,222018
276,Freddie,Ladapo,94926
277,Massimo,Luongo,106606
278,Sam,Morsy,74944
279,Corrie,Ndaba,246265
280,Cieran,Slicker,434044
281,Jack,Taylor,231899
282,Axel,Tuanzebe,180804
283,Christian,Walton,108813
284,Luke,Woolfenden,220583
359,Kalvin,Phillips,155405
568,Arijanet,Muric,232917
583,Conor,Townsend,108053
611,Sam,Szmodics,172453
619,Jens,Cajuste,454667
630,Dara,O'Shea,216616
631,Jack,Clarke,443261
632,Chiedozie,Ogbene,229164
117,Facundo,Buonanotte,536916
192,Jordan,Ayew,80146
198,Odsonne,Edouard,199670
285,Boubakary,Soumaré,225902
286,Tom,Cannon,461416
287,Hamza,Choudhury,197469
288,Conor,Coady,94147
289,Patson,Daka,245419
290,Bobby,De Cordova-Reid,96994
291,Wout,Faes,218218
292,Michael,Golding,549640
293,Mads,Hermansen,467189
294,Daniel,Iversen,207270
295,James,Justin,220627
296,Victor,Kristiansen,481510
297,Wanya,Marçal-Madivádua,461584
298,Stephy,Mavididi,154048
299,Kasey,McAteer,461587
300,Wilfred,Ndidi,203341
301,Caleb,Okoli,473341
302,Ricardo,Barbosa Pereira,111931
303,Harry,Souttar,194190
304,Jakub,Stolarczyk,436680
305,Luke,Thomas,244619
306,Jamie,Vardy,101668
307,Jannik,Vestergaard,93100
308,Danny,Ward,95463
309,Harry,Winks,157668
501,Oliver,Skipp,209042
570,Abdul,Fatawu,531442
606,Will,Alves,532534
616,Ben,Nelson,501770
635,Bilal,El Khannouss,513527
310,Alisson,Ramses Becker,116535
311,Trent,Alexander-Arnold,169187
312,Stefan,Bajčetić Maquieira,535928
313,Conor,Bradley,492777
315,Bobby,Clark,491970
316,Darwin,Núñez Ribeiro,447203
317,Diogo,Teixeira da Silva,194634
318,Ben,Doak,496208
319,Harvey,Elliott,444884
320,Endo,Wataru,158983
321,Cody,Gakpo,243298
322,Joe,Gomez,171287
323,Ryan,Gravenberch,441266
324,Curtis,Jones,206915
325,Caoimhin,Kelleher,200720
326,Ibrahima,Konaté,204716
327,Luis,Díaz,244731
328,Mohamed,Salah,118748
329,Alexis,Mac Allister,243016
330,James,McConnell,491501
331,Tyler,Morton,440148
332,Nathaniel,Phillips,197464
333,Jarell,Quansah,441428
334,Rhys,Williams,219937
335,Andrew,Robertson,122798
336,Dominik,Szoboszlai,424876
337,Konstantinos,Tsimikas,214285
339,Virgil,van Dijk,97032
636,Federico,Chiesa,223541
340,Manuel,Akanji,211975
341,Nathan,Aké,126184
342,Bernardo,Veiga de Carvalho e Silva,165809
343,Oscar,Bobb,477555
344,Scott,Carson,17601
345,Kevin,De Bruyne,61366
346,Jérémy,Doku,248875
347,Ederson,Santana de Moraes,121160
348,Phil,Foden,209244
349,Jack,Grealish,114283
350,Joško,Gvardiol,477424
351,Erling,Haaland,223094
352,Julián,Álvarez,461358
353,João,Cavaco Cancelo,121145
354,Mateo,Kovačić,91651
355,Rico,Lewis,477064
356,Matheus Luiz,Nunes,465351
357,James,McAtee,432714
358,Stefan,Ortega Moreno,88248
360,Rodrigo 'Rodri',Hernandez,220566
361,Rúben,Gato Alves Dias,171314
362,John,Stones,97299
363,Kyle,Walker,58621
571,Sávio 'Savinho',Moreira de Oliveira,510281
607,Nico,O'Reilly,472769
625,Ilkay,Gündogan,59859
626,Issa,Kaboré,476369
364,Amad,Diallo,493250
365,Antony Matheus,dos Santos,467169
366,Bruno,Borges Fernandes,141746
367,Altay,Bayindir,451302
368,Carlos Henrique,Casimiro,61256
369,Diogo,Dalot Teixeira,216051
370,Christian,Eriksen,80607
371,Jonny,Evans,37642
372,Alejandro,Garnacho,493105
373,Hannibal,Mejbri,465527
374,Tom,Heaton,21205
375,Rasmus,Højlund,497894
376,Victor,Lindelöf,184667
377,Harry,Maguire,95658
378,Kobbie,Mainoo,516895
379,Tyrell,Malacia,222690
380,Lisandro,Martínez,221820
381,Scott,McTominay,195851
382,Mason,Mount,184341
383,André,Onana,202641
384,Facundo,Pellistri Rebollo,488404
385,Marcus,Rashford,176297
387,Luke,Shaw,106760
389,Joshua,Zirkzee,458249
572,Leny,Yoro,550864
593,Matthijs,de Ligt,209365
594,Noussair,Mazraoui,230001
613,Toby,Collyer,490881
648,Ethan,Wheatley,575034
652,Manuel,Ugarte,232112
390,Alex,Murphy,545477
391,Miguel,Almirón Rejala,179018
392,Harvey,Barnes,201666
393,Sven,Botman,220237
394,Bruno,Guimarães Rodriguez Moura,208706
395,Dan,Burn,78916
396,Martin,Dúbravka,67089
398,Anthony,Gordon,232826
399,Lewis,Hall,487838
400,Isaac,Hayden,153127
401,Alexander,Isak,219168
402,Jacob,Murphy,114243
403,Joelinton Cássio,Apolinário de Lira,180974
404,Lloyd,Kelly,235530
405,Emil,Krafth,111773
406,Garang,Kuol,564510
407,Jamaal,Lascelles,101148
408,Jamal,Lewis,194799
409,Tino,Livramento,441191
410,Sean,Longstaff,180135
411,Lewis,Miley,547719
412,Odysseas,Vlachodimos,111452
413,Nick,Pope,98747
414,John,Ruddy,19236
415,Fabian,Schär,119471
416,Matt,Targett,169359
417,Sandro,Tonali,432422
418,Kieran,Trippier,77794
419,Joe,White,461484
420,Joe,Willock,200089
421,Callum,Wilson,75115
574,Miodrag,Pivaš,578512
590,William,Osula,538207
26,Álex,Moreno Lopera,106468
422,Ola,Aina,159506
423,Elliot,Anderson,215379
424,Taiwo,Awoniyi,210156
425,Willy,Boly,90585
426,Josh,Bowler,245830
427,Carlos Miguel,dos Santos Pereira,475123
428,Eric,da Silva Moreira,569014
429,Danilo,dos Santos de Oliveira,513046
430,Emmanuel,Dennis,230251
431,Nicolás,Domínguez,250199
432,Anthony,Elanga,449434
433,Morgan,Gibbs-White,222531
434,Callum,Hudson-Odoi,209046
435,Alex,Mighten,244930
436,Murillo,Santiago Costa dos Santos,575476
437,Neco,Williams,215136
438,Omar,Richards,204822
439,Lewis,O'Brien,243345
440,Andrew,Omobamidele,466404
441,Jonathan,Panzo,209035
442,Ibrahim,Sangaré,210462
443,Matz,Sels,85633
444,Harry,Toffolo,114241
446,Hwang,Ui-jo,201440
447,Chris,Wood,60689
448,Joe,Worrall,208912
449,Ryan,Yates,204968
531,James,Ward-Prowse,101178
573,Nikola,Milenković,227444
596,João Pedro,Ferreira Silva,510500
620,Ramón,Sosa,502222
653,Felipe,Rodrigues da Silva,485047
14,Aaron,Ramsdale,225321
27,Cameron,Archer,433979
188,Lesley,Ugochukwu,503714
397,Ryan,Fraser,90105
450,Carlos,Alcaraz Durán,502697
451,Samuel,Amo-Ameyaw,499724
452,Joe,Aribo,193204
453,Adam,Armstrong,155511
454,Gavin,Bazunu,456350
455,Jan,Bednarek,171771
456,Armel,Bella-Kotchap,477386
457,James,Bree,184386
458,Shea,Charles,463210
459,Samuel,Edozie,490503
460,Ronnie,Edwards,500926
461,Taylor,Harwood-Bellis,245719
462,Kamaldeen,Sulemana,504783
463,Adam,Lallana,39155
464,Juan,Larios López,515571
465,Mateusz,Lis,200428
466,Joe,Lumley,167888
467,Ryan,Manning,204863
468,Sékou,Mara,476888
469,Alex,McCarthy,58376
470,Paul,Onuachu,147611
471,Will,Smallbone,214466
472,Jack,Stephens,88900
473,Ross,Stewart,230348
474,Sugawara,Yukinari,219279
475,Charlie,Taylor,103914
476,Kyle,Walker-Peters,158534
477,Nathan,Wood-Gordon,244845
515,Maxwel,Cornet,149519
518,Flynn,Downes,220585
584,Ben,Brereton Díaz,204814
608,Tyler,Dibling,496661
623,Mateus Gonçalo,Espanha Fernandes,551226
82,Dominic,Solanke-Mitchell,154566
478,Ashley,Phillips,548308
479,Brandon,Austin,214572
480,Rodrigo,Bentancur,202993
481,Lucas,Bergvall,570526
482,Yves,Bissouma,227127
483,Bryan,Gil Salvatierra,436234
484,Ben,Davies,115556
485,Alfie,Devine,496179
486,Radu,Drăgușin,493125
487,Emerson,Leite de Souza Junior,241157
488,Fraser,Forster,40383
489,Archie,Gray,547701
490,Pierre-Emile,Højbjerg,132015
491,Brennan,Johnson,242898
492,Dejan,Kulusevski,445044
493,Giovani,Lo Celso,200826
494,James,Maddison,172780
495,Pedro,Porro,441164
496,Sergio,Reguilón,199249
497,Richarlison,de Andrade,212319
498,Cristian,Romero,221632
499,Pape Matar,Sarr,482442
500,Dane,Scarlett,490145
502,Manor,Solomon,235674
503,Son,Heung-min,85971
504,Djed,Spence,232859
505,Destiny,Udogie,487053
506,Micky,van de Ven,491279
507,Alejo,Véliz,536908
508,Guglielmo,Vicario,184254
509,Timo,Werner,165153
510,Alfie,Whiteman,175941
609,Will,Lankshear,552427
610,Mikey,Moore,499721
612,Wilson,Odobert,550839
388,Aaron,Wan-Bissaka,214590
511,Edson,Álvarez Velázquez,213999
512,Michail,Antonio,57531
513,Alphonse,Areola,84182
514,Jarrod,Bowen,178186
516,Vladimír,Coufal,164555
517,Aaron,Cresswell,55459
519,George,Earthy,490885
520,Emerson,Palmieri dos Santos,109533
521,Łukasz,Fabiański,37096
522,Wes,Foderingham,82143
523,Danny,Ings,84939
524,Max,Kilman,214048
525,Mohammed,Kudus,460842
526,Luis Guilherme,Lira dos Santos,577114
527,Lucas,Tolentino Coelho de Lima,224024
528,Konstantinos,Mavropanos,233963
529,Nayef,Aguerd,210494
530,Tomáš,Souček,215439
532,Kurt,Zouma,103192
576,Andy,Irving,229384
587,Crysencio,Summerville,450070
588,Guido,Rodríguez,197024
589,Niclas,Füllkrug,91889
591,Jean-Clair,Todibo,462116
643,Kaelan,Casey,518438
654,Carlos,Soler,224860
204,Sam,Johnstone,101982
533,Rayan,Aït-Nouri,448514
534,Boubacar,Traoré,476502
535,Jean-Ricner,Bellegarde,231057
536,Daniel,Bentley,79602
537,Francisco Jorge,Tomás Oliveira,510363
538,Tawanda,Chirewa,497606
539,Leon,Chiwome,589507
540,Luke,Cundle,245923
541,Matheus,Santos Carneiro Da Cunha,430871
542,Craig,Dawson,60232
543,Matt,Doherty,87835
544,Tommy,Doyle,220394
545,Fábio,Silva,449988
546,Nathan,Fraser,531363
547,Enso,González,593001
548,Gonçalo Manuel,Ganchinho Guedes,181284
549,Hugo,Bueno López,490721
550,Hwang,Hee-chan,184754
551,Joe,Hodge,240299
552,Ki-Jana,Hoever,441271
553,João Victor,Gomes da Silva,448089
554,José,Malheiro de Sá,149065
555,Saša,Kalajdžić,429414
556,Tom,King,138001
557,Mario,Lemina,151086
558,Yerson,Mosquera,501837
559,Nélson,Cabral Semedo,200402
561,Pedro,Cardoso de Lima,641221
562,Daniel,Castelo Podence,200600
563,Rodrigo,Martins Gomes,483081
564,Santiago,Bueno,231480
565,Pablo,Sarabia,88484
566,Jørgen,Strand Larsen,247412
567,Toti António,Gomes,510362
637,Bastien,Meupiyou,560248
642,André,Trindade da Costa Neto,509291
655,Carlos Roberto,Forbs Borges,463212
