,id,first_name,second_name,team,element_type,code,element_code,season,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
33,152,Kepa,Arrizabalaga,3,1,109745,109745,2018,55,54,142,3240,0,0,14,39,0,1,0,2,0,82,7,685,681.0,0.1,0,68.0,0,0.0,0.0,0.0,0.0
34,152,Kepa,Arrizabalaga,3,1,109745,109745,2019,55,54,90,2970,0,0,8,47,0,0,0,0,0,55,0,507,503.6,0.0,0,50.2,0,0.0,0.0,0.0,0.0
35,152,Kepa,Arrizabalaga,3,1,109745,109745,2020,50,47,26,585,0,0,2,8,0,0,0,1,0,16,5,117,113.6,0.0,0,11.3,0,0.0,0.0,0.0,0.0
36,152,Kepa,Arrizabalaga,3,1,109745,109745,2021,50,45,19,360,0,0,2,2,0,0,0,0,0,11,1,89,95.6,0.0,0,9.6,0,0.0,0.0,0.0,0.0
37,152,Kepa,Arrizabalaga,3,1,109745,109745,2022,45,45,118,2565,0,0,9,33,0,0,0,1,0,91,15,575,733.4,0.1,0,73.3,29,0.0,0.0,0.0,38.34
38,152,Kepa,Arrizabalaga,3,1,109745,109745,2023,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
39,599,Will,Dennis,3,1,444172,444172,2022,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
40,91,Mark,Flekken,4,1,118342,118342,2023,45,47,119,3285,0,1,7,63,0,0,0,3,0,115,12,685,921.2,40.3,0,96.2,37,0.0,0.14,0.14,54.01
41,109,Hákon,Valdimarsson,4,1,507433,507433,2023,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
42,142,Jason,Steele,5,1,49262,49262,2007,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
43,142,Jason,Steele,5,1,49262,49262,2008,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
44,142,Jason,Steele,5,1,49262,49262,2018,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
45,142,Jason,Steele,5,1,49262,49262,2020,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
46,142,Jason,Steele,5,1,49262,49262,2021,40,39,2,90,0,0,0,2,0,0,0,0,0,3,0,17,28.8,0.0,0,2.9,0,0.0,0.0,0.0,0.0
47,142,Jason,Steele,5,1,49262,49262,2022,40,40,65,1350,0,1,6,23,1,1,0,1,0,37,8,332,377.6,13.0,0,39.1,15,0.0,0.15,0.15,23.46
48,142,Jason,Steele,5,1,49262,49262,2023,45,40,42,1530,0,0,2,34,0,0,0,0,0,43,5,300,382.2,0.1,0,38.2,17,0.0,0.0,0.0,24.86
49,146,Bart,Verbruggen,5,1,489639,489639,2023,45,44,68,1890,0,0,4,28,0,0,0,3,0,65,7,417,541.4,1.0,0,54.3,21,0.0,0.0,0.0,31.6
50,154,Lucas,Bergström,6,1,482158,482158,2023,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
