,id,first_name,second_name,team,element_type,code,element_code
130,325,Caoimhin,Kelleher,12,1,200720,200720
131,325,Caoimhin,Kelleher,12,1,200720,200720
132,325,Caoimhin,Kelleher,12,1,200720,200720
133,325,Caoimhin,Kelleher,12,1,200720,200720
134,344,Scott,Carson,13,1,17601,17601
135,344,Scott,Carson,13,1,17601,17601
136,344,Scott,Carson,13,1,17601,17601
137,344,Scott,Carson,13,1,17601,17601
138,344,Scott,Carson,13,1,17601,17601
139,344,Scott,Carson,13,1,17601,17601
140,344,Scott,Carson,13,1,17601,17601
141,344,Scott,Carson,13,1,17601,17601
142,344,Scott,Carson,13,1,17601,17601
143,347,Ederson,Santana de Moraes,13,1,121160,121160
144,347,Ederson,Santana de Moraes,13,1,121160,121160
145,347,Ederson,Santana de Moraes,13,1,121160,121160
146,347,Ederson,Santana de Moraes,13,1,121160,121160
147,347,Ederson,Santana de Moraes,13,1,121160,121160
148,347,Ederson,Santana de Moraes,13,1,121160,121160
149,347,Ederson,Santana de Moraes,13,1,121160,121160
150,358,Stefan,Ortega Moreno,13,1,88248,88248
151,358,Stefan,Ortega Moreno,13,1,88248,88248
152,367,Altay,Bayindir,14,1,451302,451302
153,374,Tom,Heaton,14,1,21205,21205
154,374,Tom,Heaton,14,1,21205,21205
155,374,Tom,Heaton,14,1,21205,21205
156,374,Tom,Heaton,14,1,21205,21205
157,374,Tom,Heaton,14,1,21205,21205
158,374,Tom,Heaton,14,1,21205,21205
159,374,Tom,Heaton,14,1,21205,21205
160,374,Tom,Heaton,14,1,21205,21205
161,374,Tom,Heaton,14,1,21205,21205
162,374,Tom,Heaton,14,1,21205,21205
163,374,Tom,Heaton,14,1,21205,21205
164,383,André,Onana,14,1,202641,202641
165,396,Martin,Dúbravka,15,1,67089,67089
166,396,Martin,Dúbravka,15,1,67089,67089
167,396,Martin,Dúbravka,15,1,67089,67089
168,396,Martin,Dúbravka,15,1,67089,67089
169,396,Martin,Dúbravka,15,1,67089,67089
170,396,Martin,Dúbravka,15,1,67089,67089
171,396,Martin,Dúbravka,15,1,67089,67089
172,412,Odysseas,Vlachodimos,15,1,111452,111452
173,413,Nick,Pope,15,1,98747,98747
174,413,Nick,Pope,15,1,98747,98747
175,413,Nick,Pope,15,1,98747,98747
176,413,Nick,Pope,15,1,98747,98747
177,413,Nick,Pope,15,1,98747,98747
178,413,Nick,Pope,15,1,98747,98747
179,413,Nick,Pope,15,1,98747,98747
180,413,Nick,Pope,15,1,98747,98747
181,414,John,Ruddy,15,1,19236,19236
182,414,John,Ruddy,15,1,19236,19236
183,414,John,Ruddy,15,1,19236,19236
184,414,John,Ruddy,15,1,19236,19236
185,414,John,Ruddy,15,1,19236,19236
186,414,John,Ruddy,15,1,19236,19236
187,414,John,Ruddy,15,1,19236,19236
188,414,John,Ruddy,15,1,19236,19236
189,414,John,Ruddy,15,1,19236,19236
190,414,John,Ruddy,15,1,19236,19236
191,414,John,Ruddy,15,1,19236,19236
192,443,Matz,Sels,16,1,85633,85633
193,14,Aaron,Ramsdale,17,1,225321,225321
194,14,Aaron,Ramsdale,17,1,225321,225321
195,14,Aaron,Ramsdale,17,1,225321,225321
196,14,Aaron,Ramsdale,17,1,225321,225321
197,14,Aaron,Ramsdale,17,1,225321,225321
198,14,Aaron,Ramsdale,17,1,225321,225321
199,14,Aaron,Ramsdale,17,1,225321,225321
200,454,Gavin,Bazunu,17,1,456350,456350
201,465,Mateusz,Lis,17,1,200428,200428
202,469,Alex,McCarthy,17,1,58376,58376
203,469,Alex,McCarthy,17,1,58376,58376
204,469,Alex,McCarthy,17,1,58376,58376
205,469,Alex,McCarthy,17,1,58376,58376
206,469,Alex,McCarthy,17,1,58376,58376
207,469,Alex,McCarthy,17,1,58376,58376
208,469,Alex,McCarthy,17,1,58376,58376
209,469,Alex,McCarthy,17,1,58376,58376
210,469,Alex,McCarthy,17,1,58376,58376
211,469,Alex,McCarthy,17,1,58376,58376
212,479,Brandon,Austin,18,1,214572,214572
213,479,Brandon,Austin,18,1,214572,214572
214,479,Brandon,Austin,18,1,214572,214572
215,479,Brandon,Austin,18,1,214572,214572
216,488,Fraser,Forster,18,1,40383,40383
217,488,Fraser,Forster,18,1,40383,40383
218,488,Fraser,Forster,18,1,40383,40383
219,488,Fraser,Forster,18,1,40383,40383
220,488,Fraser,Forster,18,1,40383,40383
221,488,Fraser,Forster,18,1,40383,40383
222,488,Fraser,Forster,18,1,40383,40383
223,488,Fraser,Forster,18,1,40383,40383
224,488,Fraser,Forster,18,1,40383,40383
225,488,Fraser,Forster,18,1,40383,40383
226,488,Fraser,Forster,18,1,40383,40383
227,488,Fraser,Forster,18,1,40383,40383
228,488,Fraser,Forster,18,1,40383,40383
229,508,Guglielmo,Vicario,18,1,184254,184254
230,510,Alfie,Whiteman,18,1,175941,175941
231,510,Alfie,Whiteman,18,1,175941,175941
232,510,Alfie,Whiteman,18,1,175941,175941
233,510,Alfie,Whiteman,18,1,175941,175941
234,513,Alphonse,Areola,19,1,84182,84182
235,513,Alphonse,Areola,19,1,84182,84182
236,513,Alphonse,Areola,19,1,84182,84182
237,513,Alphonse,Areola,19,1,84182,84182
238,521,Łukasz,Fabiański,19,1,37096,37096
239,521,Łukasz,Fabiański,19,1,37096,37096
240,521,Łukasz,Fabiański,19,1,37096,37096
241,521,Łukasz,Fabiański,19,1,37096,37096
242,521,Łukasz,Fabiański,19,1,37096,37096
243,521,Łukasz,Fabiański,19,1,37096,37096
244,521,Łukasz,Fabiański,19,1,37096,37096
245,521,Łukasz,Fabiański,19,1,37096,37096
246,521,Łukasz,Fabiański,19,1,37096,37096
247,521,Łukasz,Fabiański,19,1,37096,37096
248,521,Łukasz,Fabiański,19,1,37096,37096
249,521,Łukasz,Fabiański,19,1,37096,37096
250,521,Łukasz,Fabiański,19,1,37096,37096
251,521,Łukasz,Fabiański,19,1,37096,37096
252,521,Łukasz,Fabiański,19,1,37096,37096
253,521,Łukasz,Fabiański,19,1,37096,37096
254,521,Łukasz,Fabiański,19,1,37096,37096
255,522,Wes,Foderingham,19,1,82143,82143
256,522,Wes,Foderingham,19,1,82143,82143
257,204,Sam,Johnstone,20,1,101982,101982
258,204,Sam,Johnstone,20,1,101982,101982
259,204,Sam,Johnstone,20,1,101982,101982
260,204,Sam,Johnstone,20,1,101982,101982
261,204,Sam,Johnstone,20,1,101982,101982
262,204,Sam,Johnstone,20,1,101982,101982
263,536,Daniel,Bentley,20,1,79602,79602
264,536,Daniel,Bentley,20,1,79602,79602
265,554,José,Malheiro de Sá,20,1,149065,149065
266,554,José,Malheiro de Sá,20,1,149065,149065
267,554,José,Malheiro de Sá,20,1,149065,149065
268,556,Tom,King,20,1,138001,138001
