id,first_name,second_name,team,element_type
625,Ilkay,Gündogan,13,3
626,Issa,Kaboré,13,2
364,Amad,Diallo,14,3
365,Antony Matheus,dos Santos,14,3
366,Bruno,Borges Fernandes,14,3
367,Altay,Bayindir,14,1
368,Carlos Henrique,Casimiro,14,3
369,Diogo,Dalot Teixeira,14,2
370,Christian,Eriksen,14,3
371,Jonny,Evans,14,2
372,Alejandro,Garnacho,14,3
373,Hannibal,Mejbri,14,3
374,Tom,Heaton,14,1
375,Rasmus,Højlund,14,4
376,Victor,Lindelöf,14,2
377,Harry,Maguire,14,2
378,Kobbie,Mainoo,14,3
379,Tyrell,Malacia,14,2
380,Lisandro,Martínez,14,2
381,Scott,McTominay,14,3
382,Mason,Mount,14,3
383,André,Onana,14,1
384,Facundo,Pellistri Rebollo,14,3
385,Marcus,Rashford,14,3
386,Jadon,Sancho,14,3
387,Luke,Shaw,14,2
389,Joshua,Zirkzee,14,4
572,Leny,Yoro,14,2
593,Matthijs,de Ligt,14,2
594,Noussair,Mazraoui,14,2
613,Toby,Collyer,14,3
390,Alex,Murphy,15,2
391,Miguel,Almirón Rejala,15,3
392,Harvey,Barnes,15,3
393,Sven,Botman,15,2
394,Bruno,Guimarães Rodriguez Moura,15,3
395,Dan,Burn,15,2
396,Martin,Dúbravka,15,1
398,Anthony,Gordon,15,3
399,Lewis,Hall,15,2
400,Isaac,Hayden,15,3
401,Alexander,Isak,15,4
402,Jacob,Murphy,15,3
403,Joelinton Cássio,Apolinário de Lira,15,3
404,Lloyd,Kelly,15,2
405,Emil,Krafth,15,2
406,Garang,Kuol,15,3
407,Jamaal,Lascelles,15,2
408,Jamal,Lewis,15,2
409,Tino,Livramento,15,2
410,Sean,Longstaff,15,3
411,Lewis,Miley,15,3
412,Odysseas,Vlachodimos,15,1
413,Nick,Pope,15,1
414,John,Ruddy,15,1
415,Fabian,Schär,15,2
416,Matt,Targett,15,2
417,Sandro,Tonali,15,3
418,Kieran,Trippier,15,2
419,Joe,White,15,3
420,Joe,Willock,15,3
421,Callum,Wilson,15,4
574,Miodrag,Pivaš,15,2
590,William,Osula,15,4
26,Álex,Moreno Lopera,16,2
422,Ola,Aina,16,2
423,Elliot,Anderson,16,3
424,Taiwo,Awoniyi,16,4
425,Willy,Boly,16,2
426,Josh,Bowler,16,3
427,Carlos Miguel,dos Santos Pereira,16,1
428,Eric,da Silva Moreira,16,3
429,Danilo,dos Santos de Oliveira,16,3
430,Emmanuel,Dennis,16,4
431,Nicolás,Domínguez,16,3
432,Anthony,Elanga,16,3
433,Morgan,Gibbs-White,16,3
434,Callum,Hudson-Odoi,16,3
435,Alex,Mighten,16,3
436,Murillo,Santiago Costa dos Santos,16,2
437,Neco,Williams,16,2
438,Omar,Richards,16,2
439,Lewis,O'Brien,16,3
440,Andrew,Omobamidele,16,2
441,Jonathan,Panzo,16,2
442,Ibrahim,Sangaré,16,3
443,Matz,Sels,16,1
444,Harry,Toffolo,16,2
446,Hwang,Ui-jo,16,4
447,Chris,Wood,16,4
448,Joe,Worrall,16,2
449,Ryan,Yates,16,3
531,James,Ward-Prowse,16,3
573,Nikola,Milenković,16,2
596,João Pedro,Ferreira Silva,16,3
620,Ramón,Sosa,16,3
14,Aaron,Ramsdale,17,1
27,Cameron,Archer,17,4
188,Lesley,Ugochukwu,17,3
397,Ryan,Fraser,17,3
450,Carlos,Alcaraz Durán,17,3
451,Samuel,Amo-Ameyaw,17,3
452,Joe,Aribo,17,3
453,Adam,Armstrong,17,4
454,Gavin,Bazunu,17,1
455,Jan,Bednarek,17,2
456,Armel,Bella-Kotchap,17,2
457,James,Bree,17,2
458,Shea,Charles,17,3
459,Samuel,Edozie,17,3
460,Ronnie,Edwards,17,2
461,Taylor,Harwood-Bellis,17,2
462,Kamaldeen,Sulemana,17,3
463,Adam,Lallana,17,3
464,Juan,Larios López,17,2
465,Mateusz,Lis,17,1
466,Joe,Lumley,17,1
467,Ryan,Manning,17,2
468,Sékou,Mara,17,4
469,Alex,McCarthy,17,1
470,Paul,Onuachu,17,4
471,Will,Smallbone,17,3
472,Jack,Stephens,17,2
473,Ross,Stewart,17,4
474,Sugawara,Yukinari,17,2
475,Charlie,Taylor,17,2
476,Kyle,Walker-Peters,17,2
477,Nathan,Wood-Gordon,17,2
515,Maxwel,Cornet,17,3
518,Flynn,Downes,17,3
584,Ben,Brereton Díaz,17,3
608,Tyler,Dibling,17,3
623,Mateus Gonçalo,Espanha Fernandes,17,3
82,Dominic,Solanke-Mitchell,18,4
478,Ashley,Phillips,18,2
479,Brandon,Austin,18,1
480,Rodrigo,Bentancur,18,3
481,Lucas,Bergvall,18,3
482,Yves,Bissouma,18,3
483,Bryan,Gil Salvatierra,18,3
484,Ben,Davies,18,2
485,Alfie,Devine,18,3
486,Radu,Drăgușin,18,2
487,Emerson,Leite de Souza Junior,18,2
488,Fraser,Forster,18,1
489,Archie,Gray,18,3
490,Pierre-Emile,Højbjerg,18,3
491,Brennan,Johnson,18,3
492,Dejan,Kulusevski,18,3
493,Giovani,Lo Celso,18,3
494,James,Maddison,18,3
495,Pedro,Porro,18,2
496,Sergio,Reguilón,18,2
497,Richarlison,de Andrade,18,4
498,Cristian,Romero,18,2
499,Pape Matar,Sarr,18,3
500,Dane,Scarlett,18,4
502,Manor,Solomon,18,3
503,Son,Heung-min,18,3
504,Djed,Spence,18,2
505,Destiny,Udogie,18,2
506,Micky,van de Ven,18,2
507,Alejo,Véliz,18,4
508,Guglielmo,Vicario,18,1
509,Timo,Werner,18,3
510,Alfie,Whiteman,18,1
609,Will,Lankshear,18,4
610,Mikey,Moore,18,3
612,Wilson,Odobert,18,3
388,Aaron,Wan-Bissaka,19,2
511,Edson,Álvarez Velázquez,19,3
512,Michail,Antonio,19,4
513,Alphonse,Areola,19,1
514,Jarrod,Bowen,19,3
516,Vladimír,Coufal,19,2
517,Aaron,Cresswell,19,2
519,George,Earthy,19,3
520,Emerson,Palmieri dos Santos,19,2
521,Łukasz,Fabiański,19,1
522,Wes,Foderingham,19,1
523,Danny,Ings,19,4
524,Max,Kilman,19,2
525,Mohammed,Kudus,19,3
526,Luis Guilherme,Lira dos Santos,19,3
527,Lucas,Tolentino Coelho de Lima,19,3
528,Konstantinos,Mavropanos,19,2
529,Nayef,Aguerd,19,2
530,Tomáš,Souček,19,3
532,Kurt,Zouma,19,2
576,Andy,Irving,19,3
587,Crysencio,Summerville,19,3
588,Guido,Rodríguez,19,3
589,Niclas,Füllkrug,19,4
591,Jean-Clair,Todibo,19,2
643,Kaelan,Casey,19,2
204,Sam,Johnstone,20,1
533,Rayan,Aït-Nouri,20,2
534,Boubacar,Traoré,20,3
535,Jean-Ricner,Bellegarde,20,3
536,Daniel,Bentley,20,1
537,Francisco Jorge,Tomás Oliveira,20,3
538,Tawanda,Chirewa,20,3
539,Leon,Chiwome,20,4
540,Luke,Cundle,20,3
541,Matheus,Santos Carneiro Da Cunha,20,4
542,Craig,Dawson,20,2
543,Matt,Doherty,20,2
544,Tommy,Doyle,20,3
545,Fábio,Silva,20,4
546,Nathan,Fraser,20,4
547,Enso,González,20,3
548,Gonçalo Manuel,Ganchinho Guedes,20,3
549,Hugo,Bueno López,20,2
550,Hwang,Hee-chan,20,3
551,Joe,Hodge,20,3
552,Ki-Jana,Hoever,20,2
553,João Victor,Gomes da Silva,20,3
554,José,Malheiro de Sá,20,1
555,Saša,Kalajdžić,20,4
556,Tom,King,20,1
557,Mario,Lemina,20,3
558,Yerson,Mosquera,20,2
559,Nélson,Cabral Semedo,20,2
561,Pedro,Cardoso de Lima,20,2
562,Daniel,Castelo Podence,20,3
563,Rodrigo,Martins Gomes,20,3
564,Santiago,Bueno,20,2
565,Pablo,Sarabia,20,3
566,Jørgen,Strand Larsen,20,4
567,Toti António,Gomes,20,2
637,Bastien,Meupiyou,20,2
642,André,Trindade da Costa Neto,20,3
