season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,id,first_name,second_name,unique_id,position,points_per_game,value_for_money,scaled_cost,scaled_points
2021/22,446008,5.5,5.2,119,2905,4,7,9,47,0,0,0,4,0,0,6,310,459.8,520.6,967.0,193.7,0,0.0,0.0,0.0,0.0,99,Bryan,Mbeumo,446008_2021/22,MID,0.04096385542168675,22.884615384615383,0.12765957446808512,0.3927392739273927
2022/23,446008,6.0,5.7,150,2905,9,9,10,39,0,0,0,5,0,0,19,556,692.6,808.6,895.0,239.5,36,9.48,5.53,15.01,41.96,99,Bryan,Mbeumo,446008_2022/23,MID,0.05163511187607573,26.31578947368421,0.18085106382978727,0.49504950495049505
2023/24,446008,6.5,6.8,127,1957,9,7,5,31,0,0,0,2,0,0,12,364,554.2,572.1,576.0,170.1,22,9.7,5.67,15.37,28.31,99,Bryan,Mbeumo,446008_2023/24,MID,0.06489524782830863,18.676470588235293,0.29787234042553185,0.41914191419141916
2023/24,496221,5.0,5.0,50,1296,0,3,7,16,0,0,0,2,0,0,4,222,255.0,287.9,29.0,57.3,15,0.38,1.5,1.87,18.04,216,Adam,Wharton,496221_2023/24,MID,0.038580246913580245,10.0,0.10638297872340424,0.16501650165016502
2018/19,180135,4.5,4.5,26,686,1,1,3,9,0,0,0,2,0,0,1,117,130.4,71.8,106.0,30.9,0,0.0,0.0,0.0,0.0,410,Sean,Longstaff,180135_2018/19,MID,0.037900874635568516,5.777777777777778,0.05319148936170215,0.0858085808580858
2019/20,180135,5.0,5.0,44,1370,1,2,2,26,0,0,0,2,1,0,0,181,235.8,217.1,155.0,60.8,0,0.0,0.0,0.0,0.0,410,Sean,Longstaff,180135_2019/20,MID,0.032116788321167884,8.8,0.10638297872340424,0.14521452145214522
2020/21,180135,5.0,4.6,41,1405,0,1,2,26,0,0,0,2,0,0,1,168,179.2,182.8,148.0,50.8,0,0.0,0.0,0.0,0.0,410,Sean,Longstaff,180135_2020/21,MID,0.029181494661921707,8.913043478260871,0.06382978723404253,0.1353135313531353
2021/22,180135,4.5,4.3,48,1458,1,1,2,29,0,0,0,1,0,0,1,206,246.0,116.6,93.0,45.7,0,0.0,0.0,0.0,0.0,410,Sean,Longstaff,180135_2021/22,MID,0.03292181069958848,11.162790697674419,0.03191489361702127,0.15841584158415842
2022/23,180135,4.5,4.3,93,2514,1,5,13,18,0,0,0,2,0,0,2,347,385.2,372.0,408.0,116.8,28,3.3,2.57,5.87,27.57,410,Sean,Longstaff,180135_2022/23,MID,0.03699284009546539,21.627906976744185,0.03191489361702127,0.3069306930693069
2023/24,180135,5.0,4.8,110,2742,6,3,10,50,0,0,0,7,0,0,3,418,550.0,357.1,479.0,138.8,30,6.76,2.8,9.56,51.59,410,Sean,Longstaff,180135_2023/24,MID,0.04011670313639679,22.916666666666668,0.08510638297872336,0.36303630363036304
2021/22,514356,4.5,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,174,Roméo,Lavia,514356_2021/22,MID,,0.0,0.042553191489361764,0.0
2022/23,514356,4.5,4.5,57,2219,1,1,4,50,0,0,0,9,0,0,0,317,347.6,247.5,46.0,64.5,26,0.42,0.62,1.04,41.72,174,Roméo,Lavia,514356_2022/23,MID,0.02568724650743578,12.666666666666666,0.05319148936170215,0.18811881188118812
2023/24,514356,5.0,4.9,1,32,0,0,0,0,0,0,0,0,0,0,0,2,3.6,1.9,0.0,0.6,0,0.0,0.01,0.01,0.33,174,Roméo,Lavia,514356_2023/24,MID,0.03125,0.2040816326530612,0.09574468085106386,0.0033003300330033004
2023/24,550839,5.0,5.0,82,2095,3,4,2,48,0,0,0,3,0,0,3,303,331.0,435.4,445.0,121.1,25,2.75,3.32,6.07,45.35,612,Wilson,Odobert,550839_2023/24,MID,0.03914081145584725,16.4,0.10638297872340424,0.2706270627062706
2023/24,518620,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,151,Ângelo Gabriel,Borges Damaceno,518620_2023/24,MID,,0.0,0.10638297872340424,0.0
2022/23,465920,7.0,6.4,25,650,0,2,0,10,0,0,0,1,0,0,0,73,100.8,146.4,140.0,38.2,7,1.82,1.26,3.08,10.88,179,Mykhailo,Mudryk,465920_2022/23,MID,0.038461538461538464,3.90625,0.2553191489361703,0.08250825082508251
2023/24,465920,6.5,6.3,94,1564,5,5,7,28,0,0,0,5,0,0,5,291,347.2,457.5,420.0,122.4,18,4.77,3.15,7.92,25.05,179,Mykhailo,Mudryk,465920_2023/24,MID,0.06010230179028133,14.920634920634921,0.2446808510638298,0.3102310231023102
2011/12,103955,5.0,4.6,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,186,Raheem,Sterling,103955_2011/12,MID,0.1,0.6521739130434783,0.06382978723404253,0.009900990099009901
2012/13,103955,4.5,4.6,82,1748,2,6,6,24,0,0,0,1,0,0,7,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,186,Raheem,Sterling,103955_2012/13,MID,0.04691075514874142,17.826086956521742,0.06382978723404253,0.2706270627062706
2013/14,103955,5.5,6.4,132,2219,9,7,6,31,0,0,0,3,0,0,7,125,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,186,Raheem,Sterling,103955_2013/14,MID,0.059486255069851286,20.625,0.2553191489361703,0.43564356435643564
2014/15,103955,8.5,8.3,158,3047,7,10,13,39,0,0,0,5,0,0,16,513,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,186,Raheem,Sterling,103955_2014/15,MID,0.051854282901214306,19.03614457831325,0.4574468085106384,0.5214521452145214
2015/16,103955,9.0,8.5,96,1920,6,3,7,30,0,0,0,1,0,0,3,324,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,186,Raheem,Sterling,103955_2015/16,MID,0.05,11.294117647058824,0.4787234042553192,0.31683168316831684
2016/17,103955,8.0,7.5,149,2509,7,14,9,27,0,0,0,7,0,0,11,468,527.0,688.3,1170.0,237.7,0,0.0,0.0,0.0,0.0,186,Raheem,Sterling,103955_2016/17,MID,0.059386209645277,19.866666666666667,0.3723404255319149,0.49174917491749176
2019/20,103955,12.0,12.0,204,2651,20,6,13,31,0,0,2,5,0,0,20,642,921.6,751.3,1829.0,350.2,0,0.0,0.0,0.0,0.0,186,Raheem,Sterling,103955_2019/20,MID,0.07695209354960392,17.0,0.8510638297872342,0.6732673267326733
2020/21,103955,11.5,10.9,154,2534,10,9,14,23,0,0,1,4,0,0,10,458,663.4,584.1,1366.0,260.3,0,0.0,0.0,0.0,0.0,186,Raheem,Sterling,103955_2020/21,MID,0.06077348066298342,14.128440366972477,0.7340425531914894,0.5082508250825083
2021/22,103955,11.0,10.5,163,2121,13,7,13,17,0,0,1,1,0,0,15,468,730.8,613.2,1188.0,253.4,0,0.0,0.0,0.0,0.0,186,Raheem,Sterling,103955_2021/22,MID,0.07685054219707685,15.523809523809524,0.6914893617021278,0.5379537953795379
2022/23,103955,10.0,9.7,101,1886,6,4,5,27,0,0,0,4,0,0,9,274,399.6,495.4,647.0,153.9,23,6.21,3.22,9.43,27.83,186,Raheem,Sterling,103955_2022/23,MID,0.0535524920466596,10.412371134020619,0.6063829787234043,0.3333333333333333
2023/24,103955,7.0,6.8,123,1972,8,8,5,38,0,0,0,7,0,0,8,323,502.8,473.7,747.0,172.1,22,6.39,4.33,10.72,32.83,186,Raheem,Sterling,103955_2023/24,MID,0.06237322515212982,18.08823529411765,0.29787234042553185,0.40594059405940597
